fecha,producto,cantidad,precio
2024-01-15,Laptop Dell,2,899.99
2024-01-16,Teclado Mecánico,5,89.50
2024-01-17,Monitor 24",3,299.99
2024-01-18,Mouse Inalámbrico,10,25.99
2024-01-19,Impresora HP,1,199.99
2024-01-20,Tablet Samsung,4,349.99
2024-01-21,Auriculares Sony,7,79.99
2024-01-22,Disco Duro 1TB,6,59.99
2024-01-23,Webcam Logitech,3,45.99
2024-01-24,Router WiFi,2,89.99
2024-02-05,Smartphone iPhone,1,999.99
2024-02-12,Altavoces Bluetooth,8,45.99
2024-02-18,Proyector Epson,1,399.99
2024-02-25,Memoria USB 32GB,15,12.99
2024-03-08,Tablet iPad,2,499.99
2024-03-15,Teclado Gaming,4,129.99
2024-03-22,Monitor 27",2,399.99
2024-03-29,Impresora Canon,1,179.99
2024-04-03,Laptop HP,1,699.99
2024-04-10,Webcam 4K,5,89.99
2024-04-17,Disco SSD 500GB,8,79.99
2024-04-24,Router Gaming,3,149.99
2024-05-01,Smartwatch Apple,2,399.99
2024-05-08,Teclado Inalámbrico,6,65.99
2024-05-15,Monitor Curvo,1,599.99
2024-05-22,Impresora Laser,2,249.99
2024-05-29,Tablet Lenovo,3,199.99
2024-06-05,Laptop Asus,1,799.99
2024-06-12,Altavoces Gaming,4,89.99
2024-06-19,Webcam HD,7,35.99
2024-06-26,Disco Externo 2TB,3,89.99
2024-07-03,Smartphone Samsung,1,799.99
2024-07-10,Teclado RGB,5,95.99
2024-07-17,Monitor 32",1,499.99
2024-07-24,Impresora Multifunción,1,299.99
2024-07-31,Tablet Microsoft,2,349.99
2024-08-07,Laptop Lenovo,1,649.99
2024-08-14,Webcam Pro,3,125.99
2024-08-21,Disco SSD 1TB,6,119.99
2024-08-28,Router Mesh,2,199.99
2024-09-04,Smartphone Google,1,599.99
2024-09-11,Teclado Ergonómico,4,75.99
2024-09-18,Monitor 4K,1,699.99
2024-09-25,Impresora Brother,2,159.99
2024-10-02,Tablet Amazon,5,89.99
2024-10-09,Laptop Acer,1,549.99
2024-10-16,Webcam Streaming,4,199.99
2024-10-23,Disco Híbrido,7,69.99
2024-10-30,Router WiFi 6,3,129.99
2024-11-06,Smartphone OnePlus,1,699.99
2024-11-13,Teclado Compacto,8,45.99
2024-11-20,Monitor Ultrawide,1,799.99
2024-11-27,Impresora Epson,1,229.99
2024-12-04,Tablet Huawei,3,179.99
2024-12-11,Laptop MSI,1,1199.99
2024-12-18,Webcam 1080p,6,55.99
2024-12-25,Disco NVMe,4,99.99
2025-01-02,Router Gaming Pro,2,179.99
2025-01-09,Smartphone Xiaomi,1,399.99
2025-01-16,Teclado Retro,3,89.99
2025-01-23,Monitor Gaming,1,899.99
2025-01-30,Impresora HP Laser,1,199.99
2025-02-06,Tablet Surface,2,599.99
2025-02-13,Laptop Dell Gaming,1,999.99
2025-02-20,Webcam 4K Pro,2,299.99
2025-02-27,Disco Externo 4TB,2,149.99
2025-03-05,Router WiFi 6E,1,249.99
2025-03-12,Smartphone Motorola,1,299.99
2025-03-19,Teclado Mecánico RGB,6,119.99
2025-03-26,Monitor OLED,1,1299.99
2025-04-02,Impresora Canon Pro,1,399.99
2025-04-09,Tablet iPad Pro,1,1099.99
2025-04-16,Laptop MacBook,1,1299.99
